Season,RANK,NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE
2007 - 2008,203,Bryan Allen,FLA,D,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Dmitri Kalinin,BUF,D,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Greg de Vries,NSH,D,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Jay Bouwmeester,FLA,D,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Jozef Stumpel,FLA,C,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Tomas Holmstrom,DET,LW,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,203,Tuomo Ruutu,CAR,C,"$2,250,000 ",1 (2007),"$2,250,000 "
2007 - 2008,210,Barret Jackman,STL,D,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,Christian Backman,NYR,D,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,David Vyborny,CBJ,RW,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,Frantisek Kaberle,CAR,D,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,Jarret Stoll,EDM,C,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,Kari Lehtonen,WPG,G,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,210,Mike Sillinger,NYI,C,"$2,200,000 ",1 (2007),"$2,200,000 "
2007 - 2008,217,Kris Draper,DET,C,"$2,128,000 ",1 (2007),"$2,128,000 "
2007 - 2008,218,Anton Volchenkov,OTT,D,"$2,100,000 ",1 (2007),"$2,100,000 "
2007 - 2008,218,David Legwand,NSH,C,"$2,100,000 ",1 (2007),"$2,100,000 "
2007 - 2008,218,Keith Carney,MIN,D,"$2,100,000 ",1 (2007),"$2,100,000 "
2007 - 2008,218,Peter Schaefer,BOS,LW,"$2,100,000 ",1 (2007),"$2,100,000 "
2007 - 2008,218,Todd White,WPG,C,"$2,100,000 ",1 (2007),"$2,100,000 "
2007 - 2008,223,Hal Gill,PIT,D,"$2,075,000 ",1 (2007),"$2,075,000 "
2007 - 2008,224,Lubomir Visnovsky,LAK,D,"$2,052,000 ",1 (2007),"$2,052,000 "
2007 - 2008,225,Dominik Hasek,DET,G,"$2,050,000 ",1 (2007),"$2,050,000 "
2007 - 2008,225,Keith Ballard,ARI,D,"$2,050,000 ",1 (2007),"$2,050,000 "
2007 - 2008,227,Andrew Raycroft,TOR,G,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Bryan Smolinski,MTL,C,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Cam Ward,CAR,G,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Dick Tarnstrom,CBJ,D,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Jeff Halpern,TBL,C,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Mark Bell,TOR,LW,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Rob Niedermayer,ANA,RW,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Steven Reinprecht,ARI,C,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,227,Zach Parise,NJD,C,"$2,000,000 ",1 (2007),"$2,000,000 "
2007 - 2008,236,Jason Smith,PHI,D,"$1,976,000 ",1 (2007),"$1,976,000 "
2007 - 2008,237,Nik Antropov,TOR,C,"$1,950,000 ",1 (2007),"$1,950,000 "
2007 - 2008,238,Sean Avery,NYR,RW,"$1,900,000 ",1 (2007),"$1,900,000 "
2007 - 2008,238,Vinny Prospal,PHI,C,"$1,900,000 ",1 (2007),"$1,900,000 "
2007 - 2008,240,Francis Bouillon,MTL,D,"$1,875,000 ",1 (2007),"$1,875,000 "
2007 - 2008,241,Nick Schultz,MIN,D,"$1,850,000 ",1 (2007),"$1,850,000 "
2007 - 2008,241,P.J. Axelsson,BOS,LW,"$1,850,000 ",1 (2007),"$1,850,000 "
2007 - 2008,243,Manny Legace,STL,G,"$1,800,000 ",1 (2007),"$1,800,000 "
2007 - 2008,243,Stephen Weiss,FLA,C,"$1,800,000 ",1 (2007),"$1,800,000 "
2007 - 2008,245,Mike Grier,SJS,RW,"$1,775,000 ",1 (2007),"$1,775,000 "
2007 - 2008,246,Brian Campbell,SJS,D,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Cory Stillman,OTT,LW,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Dan Hamhuis,NSH,D,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Eric Belanger,MIN,C,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Jussi Jokinen,TBL,LW,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Mark Recchi,WPG,RW,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Martin Erat,NSH,RW,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Mathieu Dandenault,MTL,D,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Owen Nolan,CGY,RW,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,246,Ryan Kesler,VAN,C,"$1,750,000 ",1 (2007),"$1,750,000 "
2007 - 2008,256,Niclas Wallin,CAR,D,"$1,725,000 ",1 (2007),"$1,725,000 "
2007 - 2008,257,Brett McLean,FLA,C,"$1,700,000 ",1 (2007),"$1,700,000 "
2007 - 2008,257,Martin Skoula,MIN,D,"$1,700,000 ",1 (2007),"$1,700,000 "
2007 - 2008,259,Francois Beauchemin,ANA,D,"$1,650,000 ",1 (2007),"$1,650,000 "
2007 - 2008,260,Andrew Brunette,COL,LW,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Brad Boyes,STL,C,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Jason Williams,CHI,C,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Marc-Andre Fleury,PIT,G,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Mark Eaton,PIT,D,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Petr Prucha,NYR,C,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Raffi Torres,EDM,LW,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,260,Tyler Arnason,COL,C,"$1,600,000 ",1 (2007),"$1,600,000 "
2007 - 2008,268,Alexei Ponikarovsky,TOR,LW,"$1,575,000 ",1 (2007),"$1,575,000 "
2007 - 2008,268,Taylor Pyatt,VAN,LW,"$1,575,000 ",1 (2007),"$1,575,000 "
2007 - 2008,270,Matthew Lombardi,CGY,C,"$1,550,000 ",1 (2007),"$1,550,000 "
2007 - 2008,270,Trent Hunter,NYI,RW,"$1,550,000 ",1 (2007),"$1,550,000 "
2007 - 2008,272,Matt Cooke,WSH,LW,"$1,525,000 ",1 (2007),"$1,525,000 "
2007 - 2008,273,Sergei Brylin,NJD,C,"$1,520,000 ",1 (2007),"$1,520,000 "
2007 - 2008,274,Aaron Miller,VAN,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Anders Eriksson,CGY,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Brett Clark,COL,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Bryce Salvador,NJD,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Chris Gratton,TBL,C,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Chris Higgins,MTL,C,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Curtis Joseph,CGY,G,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Derek Armstrong,LAK,C,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Geoff Sanderson,EDM,LW,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Jordan Leopold,COL,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Lee Stempniak,STL,RW,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Mike Fisher,OTT,C,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Mike Komisarek,MTL,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Niklas Kronwall,DET,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Radek Dvorak,FLA,RW,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Richard Zednik,FLA,LW,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Stephane Robidas,DAL,D,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Teemu Selanne,ANA,RW,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,274,Yanic Perreault,CHI,C,"$1,500,000 ",1 (2007),"$1,500,000 "
2007 - 2008,293,Andrei Zyuzin,CHI,D,"$1,475,000 ",1 (2007),"$1,475,000 "
2007 - 2008,294,Rostislav Klesla,CBJ,D,"$1,450,000 ",1 (2007),"$1,450,000 "
2007 - 2008,294,Ryan Malone,PIT,LW,"$1,450,000 ",1 (2007),"$1,450,000 "
2007 - 2008,296,Duncan Keith,CHI,D,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Glen Wesley,CAR,D,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,John Grahame,CAR,G,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,John-Michael Liles,COL,D,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Karel Rachunek,NJD,D,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Kristian Huselius,CGY,LW,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Pascal Leclaire,CBJ,G,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Samuel Pahlsson,ANA,C,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Scott Thornton,LAK,LW,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Tomas Plekanec,MTL,C,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Vitaly Vishnevski,NJD,D,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,296,Wayne Primeau,CGY,C,"$1,400,000 ",1 (2007),"$1,400,000 "
2007 - 2008,308,Vesa Toskala,TOR,G,"$1,375,000 ",1 (2007),"$1,375,000 "
2007 - 2008,309,Ilya Bryzgalov,ARI,G,"$1,362,500 ",1 (2007),"$1,362,500 "
2007 - 2008,310,Brent Sopel,CHI,D,"$1,360,000 ",1 (2007),"$1,360,000 "
2007 - 2008,311,Radek Bonk,NSH,C,"$1,350,000 ",1 (2007),"$1,350,000 "
2007 - 2008,312,Michael Peca,CBJ,C,"$1,315,000 ",1 (2007),"$1,315,000 "
2007 - 2008,313,Georges Laraque,PIT,RW,"$1,300,000 ",1 (2007),"$1,300,000 "
2007 - 2008,313,Mike Commodore,OTT,D,"$1,300,000 ",1 (2007),"$1,300,000 "
2007 - 2008,315,Chris Kelly,OTT,C,"$1,262,500 ",1 (2007),"$1,262,500 "
2007 - 2008,316,Brad Lukowich,TBL,D,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Chris Mason,NSH,G,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Ken Klee,WPG,D,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Martin Gelinas,NSH,LW,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,R.J. Umberger,PHI,C,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Sami Kapanen,PHI,RW,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Sean O`Donnell,ANA,D,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,316,Stephane Yelle,CGY,C,"$1,250,000 ",1 (2007),"$1,250,000 "
2007 - 2008,324,Andrew Ference,BOS,D,"$1,235,000 ",1 (2007),"$1,235,000 "
2007 - 2008,325,James Vandermeer,CGY,D,"$1,225,000 ",1 (2007),"$1,225,000 "
2007 - 2008,325,Radim Vrbata,ARI,RW,"$1,225,000 ",1 (2007),"$1,225,000 "
2007 - 2008,325,Steve Begin,MTL,LW,"$1,225,000 ",1 (2007),"$1,225,000 "
2007 - 2008,328,Alexander Semin,WSH,LW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Chuck Kobasew,BOS,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Colby Armstrong,WPG,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Jamal Mayers,STL,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Jaroslav Modry,PHI,D,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Manny Malhotra,CBJ,C,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Marek Svatos,COL,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Mathieu Garon,EDM,G,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Michel Ouellet,TBL,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Mikael Samuelsson,DET,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Petteri Nummelin,MIN,D,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Scottie Upshall,PHI,RW,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Shawn Bates,NYI,C,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,328,Zbynek Michalek,ARI,D,"$1,200,000 ",1 (2007),"$1,200,000 "
2007 - 2008,342,Marc-Andre Bergeron,ANA,D,"$1,197,000 ",1 (2007),"$1,197,000 "
2007 - 2008,343,Dustin Brown,LAK,LW,"$1,175,000 ",1 (2007),"$1,175,000 "
2007 - 2008,343,Tim Gleason,CAR,D,"$1,175,000 ",1 (2007),"$1,175,000 "
2007 - 2008,345,Chris Kunitz,ANA,LW,"$1,150,000 ",1 (2007),"$1,150,000 "
2007 - 2008,345,Jarkko Ruutu,PIT,LW,"$1,150,000 ",1 (2007),"$1,150,000 "
2007 - 2008,345,Johan Hedberg,WPG,G,"$1,150,000 ",1 (2007),"$1,150,000 "
2007 - 2008,348,Andrew Alberts,BOS,D,"$1,100,000 ",1 (2007),"$1,100,000 "
2007 - 2008,348,Chris Clark,WSH,RW,"$1,100,000 ",1 (2007),"$1,100,000 "
2007 - 2008,348,Chris Neil,OTT,RW,"$1,100,000 ",1 (2007),"$1,100,000 "
2007 - 2008,348,Donald Brashear,WSH,LW,"$1,100,000 ",1 (2007),"$1,100,000 "
2007 - 2008,348,Lukas Krajicek,VAN,D,"$1,100,000 ",1 (2007),"$1,100,000 "
2007 - 2008,353,Antero Niittymaki,PHI,G,"$1,075,000 ",1 (2007),"$1,075,000 "
2007 - 2008,353,Antoine Vermette,OTT,C,"$1,075,000 ",1 (2007),"$1,075,000 "
2007 - 2008,353,Brooks Orpik,PIT,D,"$1,075,000 ",1 (2007),"$1,075,000 "
2007 - 2008,356,Ian Laperriere,COL,C,"$1,064,000 ",1 (2007),"$1,064,000 "
2007 - 2008,357,Carlo Colaiacovo,TOR,D,"$1,050,000 ",1 (2007),"$1,050,000 "
2007 - 2008,357,Garnet Exelby,WPG,D,"$1,050,000 ",1 (2007),"$1,050,000 "
2007 - 2008,359,Fedor Tyutin,NYR,D,"$1,025,000 ",1 (2007),"$1,025,000 "
2007 - 2008,359,Kurtis Foster,MIN,D,"$1,025,000 ",1 (2007),"$1,025,000 "
2007 - 2008,361,Andre Roy,TBL,RW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Andreas Lilja,DET,D,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Dan Hinote,STL,C,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Jan Hejda,CBJ,D,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Jason Chimera,CBJ,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Johan Holmqvist,DAL,G,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Jon Sim,NYI,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Marcus Nilson,CGY,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Matt Pettinger,VAN,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Mike York,ARI,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Steve Eminger,WSH,D,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Tim Thomas,BOS,G,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,361,Ville Peltonen,FLA,LW,"$1,000,000 ",1 (2007),"$1,000,000 "
2007 - 2008,374,Alex Ovechkin,WSH,LW,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Andrej Meszaros,OTT,D,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Andrew Ladd,CHI,LW,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Drew Stafford,BUF,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Evgeni Malkin,PIT,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Kyle Chipchura,MTL,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Petteri Nokelainen,BOS,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Rostislav Olesz,FLA,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,374,Travis Zajac,NJD,C,"$984,200 ",1 (2007),"$984,200 "
2007 - 2008,383,Denis Grebeshkov,EDM,D,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Kirk Maltby,DET,LW,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Kyle Wellwood,TOR,C,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Marty Reasoner,EDM,C,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Matt Stajan,TOR,C,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Mike Smith,TBL,G,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,383,Patrick Lalime,CHI,G,"$950,000 ",1 (2007),"$950,000 "
2007 - 2008,390,Braydon Coburn,PHI,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Brent Seabrook,CHI,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Dion Phaneuf,CGY,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Jeff Carter,PHI,C,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Mark Stuart,BOS,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Matthew Carle,SJS,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Mike Richards,PHI,C,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Milan Michalek,SJS,RW,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Robert Nilsson,EDM,C,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,390,Ryan Suter,NSH,D,"$942,400 ",1 (2007),"$942,400 "
2007 - 2008,400,Patrick Eaves,CAR,C,"$941,600 ",1 (2007),"$941,600 "
2007 - 2008,401,Jason Pominville,BUF,RW,"$925,000 ",1 (2007),"$925,000 "
2007 - 2008,401,Shean Donovan,OTT,RW,"$925,000 ",1 (2007),"$925,000 "
2007 - 2008,403,Brian Willsie,LAK,RW,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Christian Ehrhoff,SJS,D,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Johan Franzen,DET,C,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Niko Kapanen,ARI,C,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Rene Bourque,CHI,LW,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Ron Hainsey,CBJ,D,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Shaone Morrisonn,WSH,D,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Stu Barnes,DAL,C,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Tom Kostopoulos,MTL,D,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,403,Travis Moen,ANA,LW,"$900,000 ",1 (2007),"$900,000 "
2007 - 2008,413,Antti Miettinen,DAL,RW,"$885,000 ",1 (2007),"$885,000 "
2007 - 2008,414,Jeff Tambellini,NYI,LW,"$882,720 ",1 (2007),"$882,720 "
2007 - 2008,415,Jiri Hudler,DET,C,"$880,000 ",1 (2007),"$880,000 "
2007 - 2008,415,Pascal Dupuis,PIT,LW,"$880,000 ",1 (2007),"$880,000 "
2007 - 2008,417,Brent Burns,MIN,D,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,417,David Perron,STL,LW,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,417,Patrick Kane,CHI,RW,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,417,Sam Gagner,EDM,C,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,417,Shane O`Brien,TBL,D,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,417,Todd Fedoruk,MIN,LW,"$875,000 ",1 (2007),"$875,000 "
2007 - 2008,423,Alexander Steen,TOR,C,"$870,180 ",1 (2007),"$870,180 "
2007 - 2008,424,Wojtek Wolski,COL,LW,"$860,000 ",1 (2007),"$860,000 "
2007 - 2008,425,Andrew Cogliano,EDM,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Anze Kopitar,LAK,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Branislav Mezei,FLA,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Bryan Little,WPG,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Carey Price,MTL,G,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Chris Chelios,DET,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Christoph Schubert,OTT,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Dean McAmmond,OTT,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Dennis Seidenberg,CAR,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Devin Setoguchi,SJS,RW,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Erik Johnson,STL,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Gilbert Brule,CBJ,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Guillaume Latendresse,MTL,RW,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Jack Johnson,LAK,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,James Sheppard,MIN,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Jiri Tlusty,TOR,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Jonas Hiller,ANA,G,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Jonathan Toews,CHI,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Jordan Staal,PIT,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Lasse Kukkonen,PHI,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Marc Staal,NYR,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Martin Hanzal,ARI,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Mike Green,WSH,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Milan Jurcina,WSH,D,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Nicklas Backstrom,WSH,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Peter Mueller,ARI,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Phil Kessel,BOS,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Sidney Crosby,PIT,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Steve Bernier,BUF,RW,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,425,Valtteri Filppula,DET,C,"$850,000 ",1 (2007),"$850,000 "
2007 - 2008,455,Jay Pandolfo,NJD,LW,"$836,000 ",1 (2007),"$836,000 "
2007 - 2008,456,Tom Gilbert,EDM,D,"$835,000 ",1 (2007),"$835,000 "
2007 - 2008,457,Patrick Sharp,CHI,RW,"$825,000 ",1 (2007),"$825,000 "
2007 - 2008,458,Joe Pavelski,SJS,C,"$810,000 ",1 (2007),"$810,000 "
2007 - 2008,459,David Backes,STL,C,"$802,500 ",1 (2007),"$802,500 "
2007 - 2008,460,Brent Johnson,WSH,G,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Brian Sutherby,ANA,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Chad Kilger,FLA,LW,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Chris Osgood,DET,G,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Fredrik Norrena,CBJ,G,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Fredrik Sjostrom,NYR,RW,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Jason LaBarbera,LAK,G,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Jeff Hamilton,CAR,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Marcel Goc,SJS,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Mikael Tellqvist,ARI,G,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Ryan Johnson,STL,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Steve Montador,FLA,D,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Steve Ott,DAL,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Trevor Daley,DAL,D,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Trevor Letowski,CAR,RW,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,460,Vernon Fiddler,NSH,C,"$800,000 ",1 (2007),"$800,000 "
2007 - 2008,476,Marcel Hossa,ARI,LW,"$780,000 ",1 (2007),"$780,000 "
2007 - 2008,477,Cory Murphy,FLA,D,"$775,000 ",1 (2007),"$775,000 "
2007 - 2008,477,David Krejci,BOS,C,"$775,000 ",1 (2007),"$775,000 "
2007 - 2008,477,Jeff Schultz,WSH,D,"$775,000 ",1 (2007),"$775,000 "
2007 - 2008,480,Jocelyn Thibault,BUF,G,"$760,000 ",1 (2007),"$760,000 "
2007 - 2008,481,Mike Johnson,STL,RW,"$755,000 ",1 (2007),"$755,000 "
2007 - 2008,481,Shane Hnidy,BOS,D,"$755,000 ",1 (2007),"$755,000 "
2007 - 2008,483,Adam Mair,BUF,C,"$750,000 ",1 (2007),"$750,000 "
2007 - 2008,483,Dan Fritsche,CBJ,C,"$750,000 ",1 (2007),"$750,000 "
